id,external_id,title,company,location,salary_min,salary_max,apply_url,source,date_found,status,resume_storage_path,cover_letter_storage_path,tailored_resume,cover_letter_content,adzuna_id,description,created_at,updated_at,firm_name,ats_type,ats_job_id,ats_company_id,ats_board_token,department,application_screenshot_path,telegram_message_id,approved_at,applied_at,follow_up_sent,error_log,job_url,resume_url,cover_url
000c44c9-cad9-46ec-8a77-f2ec3bffbe5d,jora_3c54e87326cb3b05fc1231fdcdff7ad6,Senior Business Analyst - SASE / Cybersecurity,Salt,Melbourne VIC,,,https://au.jora.com/job/Business-Analyst-3c54e87326cb3b05fc1231fdcdff7ad6?abstract_type=extended_llm&disallow=true&fsv=true&sl=Melbourne&sol_key=6e71a88aa7f11c5f90f40c4d3cbe6f91&sp=sserp&sponsored=true&sq=ICT+business+analyst&sr=39&tk=RLdA_TxPsnFAK1biUy1u-EP9SUGDTZ4V8NhqgzZZ1&trigger_source=serp,jora,2026-03-27,new,,,,,,"Translate business and security requirements into actionable outcomes • Develop artefacts like BRDs, FRDs, user stories, and process flows • Experience with SASE implementations and cybersecurity controls required",2026-03-26 19:54:59.992437+00,2026-03-26 19:54:59.992437+00,Salt,jora,,,,,,,,,false,,https://au.jora.com/job/Business-Analyst-3c54e87326cb3b05fc1231fdcdff7ad6?abstract_type=extended_llm&disallow=true&fsv=true&sl=Melbourne&sol_key=6e71a88aa7f11c5f90f40c4d3cbe6f91&sp=sserp&sponsored=true&sq=ICT+business+analyst&sr=39&tk=RLdA_TxPsnFAK1biUy1u-EP9SUGDTZ4V8NhqgzZZ1&trigger_source=serp,,
00ad58a6-5b38-4b0d-9b94-a9b35c2f1fa2,jora_Financial-Reporting-Analyst-4dce8f82c2af445635b59079a8535d8d,Financial Reporting Analyst | Immediate start,Robert Half,Melbourne VIC,,,https://au.jora.com/job/Financial-Reporting-Analyst-4dce8f82c2af445635b59079a8535d8d?abstract_type=extended_llm&disallow=true&fsv=true&sl=Melbourne&sol_key=4a02158ee0fd8928c794af65bdfe16a3&sp=sserp&sponsored=true&sq=data+analyst&sr=62&tk=cdVnRz5J0_jCiH174wML-mH6xJfCkE3_teh4Zxirh&trigger_source=serp,jora,2026-03-27,new,,,,,,"Responsible for detailed month-end analysis and reporting • Requires CA/CPA/CIMA qualification and experience in high-volume transactions • Proficiency in SAP, Excel, and Power BI preferred",2026-03-26 19:47:20.714589+00,2026-03-26 19:47:20.714589+00,Robert Half,jora,,,,,,,,,false,,https://au.jora.com/job/Financial-Reporting-Analyst-4dce8f82c2af445635b59079a8535d8d?abstract_type=extended_llm&disallow=true&fsv=true&sl=Melbourne&sol_key=4a02158ee0fd8928c794af65bdfe16a3&sp=sserp&sponsored=true&sq=data+analyst&sr=62&tk=cdVnRz5J0_jCiH174wML-mH6xJfCkE3_teh4Zxirh&trigger_source=serp,,
00e846e0-3b7f-4b1d-860e-5fb959255ebd,adzuna_5654620191,"System Development Engineer, Network Core",Amazon,"Melbourne CBD, Melbourne",,,https://www.adzuna.com.au/land/ad/5654620191?se=QnSHQEwp8RG2FfQyiRRRtQ&utm_medium=api&utm_source=c30cd290&v=846759CE50E5D11FBFD3CD64D5F46B3E8E45A0B0,adzuna,2026-03-05,new,,,,,,"This is a System Development Engineer, Network Core role with Amazon based in Melbourne, VIC, AU  Amazon  Role Seniority - mid level More about the System Development Engineer, Network Core role at Amazon Would you like to be an Engineer that builds the Cloud, rather than an Engineer that just uses it? At AWS, our Engineers look after the behind-the-scenes software and tools that make the world's largest cloud computing infrastructure possible. We have an amazing opportunity for you to join a w…",2026-03-26 19:46:54.175852+00,2026-03-26 19:46:54.175852+00,Amazon,adzuna,,,,,,,,,false,,,,
010430fc-e233-4beb-9ca3-ee92246e9136,adzuna_5650850240,Solution Sales Executive - CX - Melbourne,The Body Shop,"Southbank, Melbourne",,,https://www.adzuna.com.au/details/5650850240?utm_medium=api&utm_source=c30cd290,adzuna,2026-03-02,new,,,,,,"We help the world run better At SAP, we keep it simple: you bring your best to us, and we'll bring out the best in you. We're builders touching over 20 industries and 80% of global commerce, and we need your unique talents to help shape what's next. The work is challenging – but it matters. You'll find a place where you can be yourself, prioritize your wellbeing, and truly belong. What's in it for you? Constant learning, skill growth, great benefits, and a team that wants you to grow and succee…",2026-03-26 19:46:04.391891+00,2026-03-26 19:46:04.391891+00,The Body Shop,adzuna,,,,,,,,,false,,,,
0113165e-7a54-40b4-8fe9-1f98d0628fa6,jora_Azure-Cloud-Engineer-7f5be3a14bd9739bd1c524d04c86e682,AWS/Azure Cloud Engineer,FinXL IT Professional Services,Melbourne VIC,,,https://au.jora.com/job/Azure-Cloud-Engineer-7f5be3a14bd9739bd1c524d04c86e682?abstract_type=extended_llm&disallow=true&fsv=true&sl=Melbourne&sol_key=9dcf98a91dd5b53fd23f63b1c8874344&sp=sserp&sponsored=true&sq=devops+engineer&sr=68&tk=jWStG9eUKOlgLS9DiQGM-qfOOaVnwnxIa0an_1dyv&trigger_source=serp,jora,2026-03-27,new,,,,,,"Lead multi-cloud migrations for enterprise workloads • Design infrastructure, automation, and database modernization strategies • Mentor internal teams on AWS, Azure, and migration best practices",2026-03-26 19:48:14.441458+00,2026-03-26 19:48:14.441458+00,FinXL IT Professional Services,jora,,,,,,,,,false,,https://au.jora.com/job/Azure-Cloud-Engineer-7f5be3a14bd9739bd1c524d04c86e682?abstract_type=extended_llm&disallow=true&fsv=true&sl=Melbourne&sol_key=9dcf98a91dd5b53fd23f63b1c8874344&sp=sserp&sponsored=true&sq=devops+engineer&sr=68&tk=jWStG9eUKOlgLS9DiQGM-qfOOaVnwnxIa0an_1dyv&trigger_source=serp,,
012ebfab-7700-4ff7-83c1-44fdaa9e9546,jora_Security-Analyst-8f7b242a519eb240b45717eefb492997,Offensive Security Analyst,Kirra Services,Melbourne VIC,,,https://au.jora.com/job/Security-Analyst-8f7b242a519eb240b45717eefb492997?abstract_type=original&disallow=true&fsv=true&sl=Melbourne&sol_key=5891fc6645a2c3ea142659a0cd4e017b&sp=serp&sponsored=false&sq=cyber+security&sr=37&tk=rgAgAg3i_BCqrnwWcxAc-eccCyox8Fe2n8MxPsY6N&trigger_source=serp,jora,2026-03-27,new,,,,,,Kirra Services acknowledges all Aboriginal and Torres Strait Islander Traditional Custodians of the lands on which we work and live....,2026-03-26 19:48:25.411942+00,2026-03-26 19:48:25.411942+00,Kirra Services,jora,,,,,,,,,false,,https://au.jora.com/job/Security-Analyst-8f7b242a519eb240b45717eefb492997?abstract_type=original&disallow=true&fsv=true&sl=Melbourne&sol_key=5891fc6645a2c3ea142659a0cd4e017b&sp=serp&sponsored=false&sq=cyber+security&sr=37&tk=rgAgAg3i_BCqrnwWcxAc-eccCyox8Fe2n8MxPsY6N&trigger_source=serp,,
015fea87-fc49-47b2-ba34-7af50f3946db,jora_Associate-3-4-5cf639749937b60e084ff7eafae3f514,Associate 3-4 PQE (Cyber),Kennedys Law LLP,Melbourne VIC,,,https://au.jora.com/job/Associate-3-4-5cf639749937b60e084ff7eafae3f514?abstract_type=extended_llm&disallow=true&fsv=true&sl=Melbourne&sol_key=8a9f6e9543369c9307d4f80ccffa5a47&sp=sserp&sponsored=true&sq=cyber+security&sr=74&tk=IXyb1ggWFyhN7CD46L7g-xkP26eS4MMvtUimTM8tm&trigger_source=serp,jora,2026-03-27,new,,,,,,3-4 years' PQE in cyber incident response and data privacy • Strong knowledge of Australian data protection laws and regulations • Opportunity to work on real incident response matters internationally,2026-03-26 19:48:34.99984+00,2026-03-26 19:48:34.99984+00,Kennedys Law LLP,jora,,,,,,,,,false,,https://au.jora.com/job/Associate-3-4-5cf639749937b60e084ff7eafae3f514?abstract_type=extended_llm&disallow=true&fsv=true&sl=Melbourne&sol_key=8a9f6e9543369c9307d4f80ccffa5a47&sp=sserp&sponsored=true&sq=cyber+security&sr=74&tk=IXyb1ggWFyhN7CD46L7g-xkP26eS4MMvtUimTM8tm&trigger_source=serp,,
01a23d27-c6c7-4c97-9ab0-f9d7e1be5289,5675907915,Policy Officer,APS,"Canberra Region, Australian Capital Territory",99734,99734,https://www.adzuna.com.au/details/5675907915?utm_medium=api&utm_source=c30cd290,Adzuna,2026-03-23,new,,,,,5675907915,"Why YOU are important to us and what impact will you have on the Exports and Veterinary Services Division and the departments' goal. We make sure Australian exports meet international standards through inspections, audits and certifications. Our work helps expand trade by negotiating technical access for food and other products. We also manage quotas under trade agreements and represent Australia in setting global food standards. We help Australian producers get their goods-like meat, dairy, an…",2026-03-23 16:42:43.373428+00,2026-03-23 16:42:43.373428+00,,,,,,,,,,,false,,,,
0223aa06-5c56-42d8-b935-1832d1f4a39e,jora_Commercial-Analyst-cdad19b49424629e4e9a04681e2a4816,Commercial Analyst,Robert Half,Melbourne VIC,,,https://au.jora.com/job/Commercial-Analyst-cdad19b49424629e4e9a04681e2a4816?abstract_type=extended_llm&disallow=true&fsv=true&sl=Melbourne&sol_key=6ebee2bfa94e3aa35e605cf8ca32a36f&sp=sserp&sponsored=true&sq=data+analyst&sr=51&tk=UHZLZQJ12tAveKR_2knz-geZbC1sal8q0W2aoFO2d&trigger_source=serp,jora,2026-03-27,new,,,,,,"Analyze operational, financial, and commercial data for improvements • Translate complex datasets into clear insights for stakeholders • Proven experience in Commercial Analyst or Financial Analyst role required",2026-03-26 19:47:17.539185+00,2026-03-26 19:47:17.539185+00,Robert Half,jora,,,,,,,,,false,,https://au.jora.com/job/Commercial-Analyst-cdad19b49424629e4e9a04681e2a4816?abstract_type=extended_llm&disallow=true&fsv=true&sl=Melbourne&sol_key=6ebee2bfa94e3aa35e605cf8ca32a36f&sp=sserp&sponsored=true&sq=data+analyst&sr=51&tk=UHZLZQJ12tAveKR_2knz-geZbC1sal8q0W2aoFO2d&trigger_source=serp,,
022766e6-828b-4412-877b-197408d8089d,5673188019,Product & Underwriting Manager,Ensure Recruitment,"Sydney, Sydney Region",130000,130000,https://www.adzuna.com.au/details/5673188019?utm_medium=api&utm_source=c30cd290,Adzuna,2026-03-22,new,,,,,5673188019,"My client is a genuine market leader in the Australian travel insurance space. With the courage to do things differently, this is a business that goes out of its way to take care of customers in their most vulnerable moments, from natural disasters to international conflicts, they show up when others don't. Based in North Sydney, this is a fast-moving, close-knit team where your work is visible and your ideas genuinely matter. The Role Lead end-to-end product design and enhancement for both new…",2026-03-22 17:03:04.681958+00,2026-03-22 17:03:04.681958+00,,,,,,,,,,,false,,,,
